match_no,innings,over,ball,batsman,batting_hand,bowler,bowling_hand,bowling_type,pace_or_spin,runs_off_bat,extras,is_wicket,Wicket_type,is_boundary,team1_batting_first,team2_batting_second,team1_score,team1_wickets,team2_score,team2_wickets,extra_type,
26,1,18,3,Suraj Ajya Ahuja,Right,L Kaushal,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,18,4,Gneshwar Naveen,Right,L Kaushal,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,18,5,Gneshwar Naveen,Right,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,Wide,
26,1,18,5,Gneshwar Naveen,Right,L Kaushal,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,Wide,
26,1,18,5,Gneshwar Naveen,Right,L Kaushal,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,18,6,Gneshwar Naveen,Right,L Kaushal,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,19,1,Vidyadhar Patil,Right,V Vijaykumar,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,19,2,Vidyadhar Patil,Right,V Vijaykumar,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,LB,
26,1,19,3,Gneshwar Naveen,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,19,4,Vidyadhar Patil,Right,V Vijaykumar,Right,fast,pace,0,1,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,LB,
26,1,19,5,Gneshwar Naveen,Right,V Vijaykumar,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,1,19,6,Gneshwar Naveen,Right,V Vijaykumar,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,0,1,Sisodia,Right,Mohsin Khan,Right,offspin,spin,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,0,2,Sisodia,Right,Mohsin Khan,Right,offspin,spin,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,0,3,Sisodia,Right,Mohsin Khan,Right,offspin,spin,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,0,4,N Jose,Right,Mohsin Khan,Right,offspin,spin,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,0,5,Sisodia,Right,Mohsin Khan,Right,offspin,spin,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,0,6,Sisodia,Right,Mohsin Khan,Right,offspin,spin,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,1,1,N Jose,Right,Gneshwar Naveen,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,1,2,Sisodia,Right,Gneshwar Naveen,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,1,3,N Jose,Right,Gneshwar Naveen,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,1,4,N Jose,Right,Gneshwar Naveen,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,1,5,N Jose,Right,Gneshwar Naveen,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,1,6,N Jose,Right,Gneshwar Naveen,Right,fast,pace,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,2,1,N Jose,Right,Vidyadhar Patil,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,2,2,N Jose,Right,Vidyadhar Patil,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,2,3,N Jose,Right,Vidyadhar Patil,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,2,4,N Jose,Right,Vidyadhar Patil,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,2,5,N Jose,Right,Vidyadhar Patil,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,2,6,N Jose,Right,Vidyadhar Patil,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,3,1,Sisodia,Right,Mohsin Khan,Right,offspin,spin,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,3,2,N Jose,Right,Mohsin Khan,Right,offspin,spin,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,3,3,N Jose,Right,Mohsin Khan,Right,offspin,spin,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,3,4,N Jose,Right,Mohsin Khan,Right,offspin,spin,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,3,5,Sisodia,Right,Mohsin Khan,Right,offspin,spin,1,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,3,6,N Jose,Right,Mohsin Khan,Right,offspin,spin,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,4,1,Sisodia,Right,Gneshwar Naveen,Right,fast,pace,0,0,TRUE,CAUGHT,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,4,2,P Pavan,Right,Gneshwar Naveen,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,4,3,P Pavan,Right,Gneshwar Naveen,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,4,4,P Pavan,Right,Gneshwar Naveen,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,4,5,P Pavan,Right,Gneshwar Naveen,Right,fast,pace,4,0,FALSE,,TRUE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
26,2,4,6,P Pavan,Right,Gneshwar Naveen,Right,fast,pace,0,0,FALSE,,FALSE,Bengaluru Blasters,Gulbarga Mystics,164,7,167,3,,
