match_no,Innings,over,ball,batsman,batting_hand,bowler,bowling_hand,bowling_type,pace_or_spin,runs_off_bat,extras,is_wicket,Wicket_type,is_boundary,team1_batting_first,team2_batting_second,team1_score,team1_wickets,team2_score,team2_wickets,extra_type,
17,1,18,6,Darshan MB,Right,L Kaushal,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,19,1,H Raj,Left,S Hatti,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,19,2,Darshan MB,Right,S Hatti,Right,fast,pace,0,1,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,Bye,
17,1,19,3,H Raj,Left,S Hatti,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,19,4,H Raj,Left,S Hatti,Right,fast,pace,2,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,19,5,H Raj,Left,S Hatti,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,1,19,6,H Raj,Left,S Hatti,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,0,1,Sisodia,Right,V Koushik,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,0,2,N Jose,Right,V Koushik,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,0,3,N Jose,Right,V Koushik,Right,fast,pace,2,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,0,4,N Jose,Right,V Koushik,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,0,5,N Jose,Right,V Koushik,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,0,6,N Jose,Right,V Koushik,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,1,1,Sisodia,Right,D Prabhakar,Right,fast,pace,6,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,1,2,Sisodia,Right,D Prabhakar,Right,fast,pace,0,0,TRUE,Caught,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,1,3,P Pavan,Right,D Prabhakar,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,1,4,N Jose,Right,D Prabhakar,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,1,5,N Jose,Right,D Prabhakar,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,1,6,N Jose,Right,D Prabhakar,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,2,1,P Pavan,Right,A Doddamani,Right,fast,pace,0,5,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,Wide,
17,2,2,1,P Pavan,Right,A Doddamani,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,2,2,P Pavan,Right,A Doddamani,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,2,3,P Pavan,Right,A Doddamani,Right,fast,pace,2,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,2,4,P Pavan,Right,A Doddamani,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,2,5,P Pavan,Right,A Doddamani,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,2,6,P Pavan,Right,A Doddamani,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,3,1,P Pavan,Right,H Raj,Right,fast,pace,2,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,3,2,P Pavan,Right,H Raj,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,3,3,N Jose,Right,H Raj,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,3,4,P Pavan,Right,H Raj,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,3,5,N Jose,Right,H Raj,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,3,6,N Jose,Right,H Raj,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,4,1,P Pavan,Right,A Doddamani,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,4,2,N Jose,Right,A Doddamani,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,4,3,N Jose,Right,A Doddamani,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,4,4,P Pavan,Right,A Doddamani,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,4,5,P Pavan,Right,A Doddamani,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,4,6,P Pavan,Right,A Doddamani,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,5,1,P Pavan,Right,H Raj,Right,fast,pace,0,1,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,NB,
17,2,5,1,P Pavan,Right,H Raj,Right,fast,pace,2,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,5,2,P Pavan,Right,H Raj,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,5,3,N Jose,Right,H Raj,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,5,4,N Jose,Right,H Raj,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,5,5,P Pavan,Right,H Raj,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,5,6,N Jose,Right,H Raj,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,6,1,N Jose,Right,A Doddamani,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,6,2,N Jose,Right,A Doddamani,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,6,3,P Pavan,Right,A Doddamani,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,6,4,P Pavan,Right,A Doddamani,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,6,5,P Pavan,Right,A Doddamani,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,6,6,P Pavan,Right,A Doddamani,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,7,1,P Pavan,Right,H Raj,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,7,2,N Jose,Right,H Raj,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,7,3,P Pavan,Right,H Raj,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,7,4,P Pavan,Right,H Raj,Right,fast,pace,0,0,TRUE,Caught&Bowled,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,7,5,S Ravichandran,Right,H Raj,Right,fast,pace,2,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,7,6,S Ravichandran,Right,H Raj,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,8,1,N Jose,Right,V Kaverappa,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,8,2,S Ravichandran,Right,V Kaverappa,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,8,3,S Ravichandran,Right,V Kaverappa,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,8,4,S Ravichandran,Right,V Kaverappa,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,8,5,S Ravichandran,Right,V Kaverappa,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,8,6,S Ravichandran,Right,V Kaverappa,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,9,1,N Jose,Right,D Prabhakar,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,9,2,S Ravichandran,Right,D Prabhakar,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,9,3,N Jose,Right,D Prabhakar,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,9,4,N Jose,Right,D Prabhakar,Right,fast,pace,2,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,9,5,N Jose,Right,D Prabhakar,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,9,6,N Jose,Right,D Prabhakar,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,10,1,N Jose,Right,V Kaverappa,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,10,2,S Ravichandran,Right,V Kaverappa,Right,fast,pace,6,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,10,3,S Ravichandran,Right,V Kaverappa,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,10,4,S Ravichandran,Right,V Kaverappa,Right,fast,pace,4,0,FALSE,,TRUE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,10,5,S Ravichandran,Right,V Kaverappa,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,10,6,S Ravichandran,Right,V Kaverappa,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,11,1,S Ravichandran,Right,D Prabhakar,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,11,2,S Ravichandran,Right,D Prabhakar,Right,fast,pace,0,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,11,3,S Ravichandran,Right,D Prabhakar,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,11,4,N Jose,Right,D Prabhakar,Right,fast,pace,2,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
17,2,11,5,N Jose,Right,D Prabhakar,Right,fast,pace,1,0,FALSE,,FALSE,Shivamogga Lions,Gulbarga Mystics,133,7,135,3,,
